text,true_intent,predicted_intent
How do I locate my card?,card_arrival,lost_or_stolen_card
Is there a way to know when my card will arrive?,card_arrival,card_delivery_estimate
When will I get my card?,card_arrival,card_delivery_estimate
How long does a card delivery take?,card_arrival,card_delivery_estimate
"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?",card_arrival,card_delivery_estimate
How long should my new card take to arrive?,card_arrival,card_delivery_estimate
How do I know when my card will arrive?,card_arrival,card_delivery_estimate
The app doesn't show the card I received.,card_linking,card_arrival
Is it a good time to exchange?,exchange_rate,exchange_charge
when does the rate get determined,exchange_rate,card_payment_wrong_exchange_rate
Why am I being charged more ?,card_payment_wrong_exchange_rate,transfer_fee_charged
There is a fee I don't recognize on my statement.,extra_charge_on_statement,card_payment_fee_charged
Where did this fee come from?,extra_charge_on_statement,card_payment_fee_charged
"I am a new customer, and I happened to look at my app and there is a charge I am not familiar with.  Could you tell me why the extra charge is there?",extra_charge_on_statement,card_payment_fee_charged
Where's accounting for my cash withdrawal?,pending_cash_withdrawal,cash_withdrawal_not_recognised
My account was charged for a withdraw I tried to make that was decline.,pending_cash_withdrawal,declined_cash_withdrawal
"There is an incoming payment into my account, but it is deactivated. Will they still be processed?",fiat_currency_support,reverted_card_payment?
What currencies do you do exchanges for?,fiat_currency_support,exchange_via_app
Where can I exchange my money for EUR?,fiat_currency_support,exchange_via_app
How do I change currencies to euros?,fiat_currency_support,exchange_via_app
Am I able to exchange currencies?,fiat_currency_support,exchange_via_app
What currencies are used in your exchange?,fiat_currency_support,exchange_via_app
I want to make a currency exchange to EU.,fiat_currency_support,exchange_via_app
Can I exchange currencies?,fiat_currency_support,exchange_via_app
What countries can I travel to and have access to their currencies?,fiat_currency_support,country_support
my card was not in the mail again can you advise?,card_delivery_estimate,card_arrival
When can I expect to receive my new card?,card_delivery_estimate,card_arrival
I am waiting for my card to arrive.,card_delivery_estimate,card_arrival
where is theft-top option?,automatic_top_up,lost_or_stolen_phone
How do I make sure I don't run out of money on my card while traveling?,automatic_top_up,card_about_to_expire
Can I space out how often money is transferred along my travels?,automatic_top_up,transfer_timing
"Is there a top-up feature, if there isn't a lot of money left?",automatic_top_up,pending_top_up
How do I unblock my card using the app?,card_not_working,pin_blocked
How are currencies exchanged?,exchange_via_app,exchange_rate
What currency's can i exchange for?,exchange_via_app,fiat_currency_support
Is a copy of the police report necessary for completing the report process?,lost_or_stolen_card,police_report
I cannot find my credit card.,lost_or_stolen_card,card_arrival
Where can I view my PIN?,pin_blocked,get_physical_card
"I attempted to use my card while I was intoxicated, and I failed to input my PIN, and the machine kept my card. How soon can I have it back?",pin_blocked,card_swallowed
How do I reset my PIN?,pin_blocked,change_pin
"My card's frozen, what can I do?",pin_blocked,card_not_working
My contanctless has stopped working,contactless_not_working,lost_or_stolen_phone
what is required documents for new card process ?,contactless_not_working,verify_my_identity
The NFC payment wouldn't work on the bus today. Help?,contactless_not_working,card_not_working
what is the charges for new card?,contactless_not_working,order_physical_card
Should i reinstall the payment app?,contactless_not_working,card_payment_not_working
how much do you charge to accept transfers,top_up_by_bank_transfer_charge,transfer_fee_charged
"I need to make a transfer, what will the fee be?",top_up_by_bank_transfer_charge,transfer_fee_charged
If I make a top-up are there charges applied?,top_up_by_bank_transfer_charge,top_up_by_card_charge
I would like to refill my account using SWIFT.,top_up_by_bank_transfer_charge,top_up_by_bank_transfer
Will a transfer incur a fee?,top_up_by_bank_transfer_charge,transfer_fee_charged
What are the fees for top-ups?,top_up_by_bank_transfer_charge,top_up_by_card_charge
is there a fee for a transfer? if so how much will it be?,top_up_by_bank_transfer_charge,transfer_fee_charged
Can you tell me what the transfer policy is?,top_up_by_bank_transfer_charge,transfer_fee_charged
What us the fee to transfer money from my bank?,top_up_by_bank_transfer_charge,transfer_fee_charged
"OMG!  I'm trying to load my card and it wont top up!  I desperately need the money either on my card or in my bank, where is it?",pending_top_up,topping_up_by_card
Where is the money I topped off with?,pending_top_up,topping_up_by_card
Can I change the amount I made on a payment that I made to the payment is correct.,cancel_transfer,card_payment_wrong_exchange_rate
Where is the money I pushed it's on my mobile app as being withdrawn.,wrong_amount_of_cash_received,pending_cash_withdrawal
My cash withdrawal was partly declined,wrong_amount_of_cash_received,declined_cash_withdrawal
Will declined funds I tried to withdraw be returned to me?,wrong_amount_of_cash_received,declined_cash_withdrawal
"I show another charge on my card from when I used it, why?",card_payment_fee_charged,card_payment_not_recognised
There is an unauthorized fee.,card_payment_fee_charged,transfer_fee_charged
im not sure what this charge is for,card_payment_fee_charged,card_payment_not_recognised
There is a fee on my account. Why?,card_payment_fee_charged,extra_charge_on_statement
