text,true_intent,predicted_intent
How do I locate my card?,card_arrival,lost_or_stolen_card
Is there a way to know when my card will arrive?,card_arrival,card_delivery_estimate
When will I get my card?,card_arrival,card_delivery_estimate
How long does a card delivery take?,card_arrival,card_delivery_estimate
How do I link to my credit card with you?,card_linking,topping_up_by_card
The app doesn't show the card I received.,card_linking,card_arrival
Why am I being charged more ?,card_payment_wrong_exchange_rate,card_payment_fee_charged
I'm not okay with this fee on my statement.,extra_charge_on_statement,card_payment_fee_charged
There is a fee I don't recognize on my statement.,extra_charge_on_statement,card_payment_fee_charged
Where did this fee come from?,extra_charge_on_statement,card_payment_fee_charged
There is an extra charge on my app that I was not told about or I was aware of!,extra_charge_on_statement,card_payment_fee_charged
"It's been two weeks, why has the transaction for $1.00 not been reversed?",extra_charge_on_statement,transfer_fee_charged
Can you please check why I am having this extra fee on my statement.,extra_charge_on_statement,card_payment_fee_charged
Where's accounting for my cash withdrawal?,pending_cash_withdrawal,cash_withdrawal_not_recognised
My account was charged for a withdraw I tried to make that was decline.,pending_cash_withdrawal,declined_cash_withdrawal
"If I request that my funds be held, what currencies do you use?",fiat_currency_support,top_up_by_cash_or_cheque
"There is an incoming payment into my account, but it is deactivated. Will they still be processed?",fiat_currency_support,pending_card_payment
What currencies do you do exchanges for?,fiat_currency_support,exchange_via_app
Where can I exchange my money for EUR?,fiat_currency_support,exchange_via_app
Can I exchange to EUR?,fiat_currency_support,exchange_via_app
How do I change currencies to euros?,fiat_currency_support,exchange_via_app
Am I able to exchange currencies?,fiat_currency_support,exchange_via_app
What currencies are used in your exchange?,fiat_currency_support,exchange_via_app
I want to make a currency exchange to EU.,fiat_currency_support,exchange_via_app
Can I exchange currencies?,fiat_currency_support,exchange_via_app
What countries can I travel to and have access to their currencies?,fiat_currency_support,country_support
my card was not in the mail again can you advise?,card_delivery_estimate,card_arrival
I'm just wondering when my card will get here.,card_delivery_estimate,card_arrival
When can I expect to receive my new card?,card_delivery_estimate,card_arrival
I am waiting for my card to arrive.,card_delivery_estimate,card_arrival
where is theft-top option?,automatic_top_up,lost_or_stolen_card
How do I make sure I don't run out of money on my card while traveling?,automatic_top_up,card_payment_not_recognised
Can I space out how often money is transferred along my travels?,automatic_top_up,transfer_timing
"Is there a top-up feature, if there isn't a lot of money left?",automatic_top_up,top_up_limits
I've tried my card a bunch of times and it never worked.,card_not_working,declined_card_payment
How do I unblock my card using the app?,card_not_working,pin_blocked
My card was declined today when eating and I need to know what's wrong.,card_not_working,declined_card_payment
How can I resolve a problem where my card won't go through at all?,card_not_working,declined_card_payment
My card doesn't accept any transaction at all. What's wrong??,card_not_working,declined_card_payment
How are currencies exchanged?,exchange_via_app,exchange_rate
Is a copy of the police report necessary for completing the report process?,lost_or_stolen_card,verify_source_of_funds
Where can I view my PIN?,pin_blocked,get_physical_card
"I attempted to use my card while I was intoxicated, and I failed to input my PIN, and the machine kept my card. How soon can I have it back?",pin_blocked,card_swallowed
Why did I get blocked?,pin_blocked,disputed_card_payment
"My card's frozen, what can I do?",pin_blocked,card_not_working
My contanctless has stopped working,contactless_not_working,lost_or_stolen_phone
what is required documents for new card process ?,contactless_not_working,verify_my_identity
The NFC payment wouldn't work on the bus today. Help?,contactless_not_working,declined_card_payment
what is the charges for new card?,contactless_not_working,card_payment_fee_charged
Should i reinstall the payment app?,contactless_not_working,card_payment_not_recognised
I would like to make a transfer. How much does it cost?,top_up_by_bank_transfer_charge,transfer_fee_charged
"I need to make a transfer, what will the fee be?",top_up_by_bank_transfer_charge,transfer_fee_charged
If I make a top-up are there charges applied?,top_up_by_bank_transfer_charge,top_up_by_card_charge
If I transfer money from my bank to top-up my account will I be charged?,top_up_by_bank_transfer_charge,transfer_fee_charged
What are the fees for top-ups?,top_up_by_bank_transfer_charge,top_up_by_card_charge
is there a fee for a transfer? if so how much will it be?,top_up_by_bank_transfer_charge,transfer_fee_charged
What us the fee to transfer money from my bank?,top_up_by_bank_transfer_charge,transfer_fee_charged
Can you tell me the total cost of a transfer?,top_up_by_bank_transfer_charge,transfer_fee_charged
"new customer and filling gas today, it's not working, the thing shows pending half an hour!",pending_top_up,pending_cash_withdrawal
My card was topped this morning but I can't see the funds. Why didn't it complete?,pending_top_up,topping_up_by_card
I topped up but it didn't complete,pending_top_up,top_up_failed
Why hasn't my top-up been completed?,pending_top_up,top_up_failed
top up did not complete,pending_top_up,top_up_failed
So I just put my top-up into the card and it hasn't changed.,pending_top_up,top_up_reverted
"OMG!  I'm trying to load my card and it wont top up!  I desperately need the money either on my card or in my bank, where is it?",pending_top_up,top_up_failed
It doesn't look like the top-up completed.,pending_top_up,top_up_failed
